,Text,Date,Likes,Reposts,Comments
50,In this very difficult moment for our world it is important we unite and support each other. Let’s all do what we can to help. #beyondthemask #nevergiveup,10 Apr 2020,219.9K,23.8K,"3,026"
51,Stay home and keep stylish  #stayhomestaysafe,4 Apr 2020,337.7K,38.9K,"7,858"
52,"Breathe in, breathe out. Stay active #stayhomesavelives",1 Apr 2020,294.3K,24.5K,"5,235"
53,"In this difficult moment for the whole world, let’s be thankful for the things that matter - our health, our family, our loved ones. Stay home and let’s help all the health workers out there fighting to save lives. #stayhomesavelives",30 Mar 2020,234.3K,21K,"4,660"
54,"If you ever dreamed of playing for millions around the world, now is your chance. Play inside, play for the world.
#staysafe #playinside #playfortheworld",21 Mar 2020,176.7K,14.6K,"3,472"
55,"Hi guys, just a little message and reminder of the steps we must all follow to protect ourselves and our loved ones. Please stay safe. #stayhome #staysafe",20 Mar 2020,116.6K,18.6K,"2,304"
56,For information: https://who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public…,13 Mar 2020,175.9K,32.4K,"3,769"
57,I'm back  #Juventus #finoallafine,25 Nov 2019,200.4K,15K,"3,861"
58,"Gran Carattere, bravi ragazzi!!
#finoallafine #forzajuve",23 Nov 2019,118.5K,"6,276","1,159"
59,Focused on my recovery to come back soon!,22 Nov 2019,255.2K,16K,"3,634"
60,Love this feeling,15 Nov 2019,272.6K,21.2K,"3,961"
61,"Boa vitória equipa! 
Estamos a um passo do apuramento! 
#todosporportugal",14 Nov 2019,159K,14.6K,"2,286"
62,Feliz aniversário meu amor,12 Nov 2019,223.4K,11.7K,"2,364"
63,"Partita difficile, vittoria importante!
#finoallafine",11 Nov 2019,154.8K,"8,362","3,030"
64,"We’re on the #ucl last 16!
Bravi Ragazzi!
#finoallafine",7 Nov 2019,108K,"5,447","1,269"
65,Champions League here we go again!,5 Nov 2019,199.8K,10.8K,"2,145"
66,"No doubts in your mind, no dandruff on your head. #keepaCLEARhead #ClearMen #NoDoubts #NoDandruff #MenShampoo",28 Aug 2019,36.4K,"2,236",609
67,"El otro día estuve en @insparya_es y fue un placer hablar con todo el equipo, en el cual confío. Si sufres de alopecia, comprueba el gran trabajo que podemos hacer por ti. Entra en http://Insparya.es y pide tu consulta gratuita. Yo confío en Insparya,¡confía tu también!",28 Aug 2019,27.8K,"1,744",555
68,Great to start the season with three points! #forzajuve #liveahead #finoallafine,24 Aug 2019,91.7K,"6,428","1,222"
69,The Amazon Rainforest produces more than 20% of the world’s oxygen and its been burning for the past 3 weeks. It’s our responsibility to help to save our planet. #prayforamazonia,22 Aug 2019,370.3K,101.7K,12.2K
70,Back on track and focused on the first game of the season,19 Aug 2019,83.5K,"5,206","1,209"
71,Feeling good and keep working,10 Aug 2019,222.8K,13.4K,"2,668"
72,We’re already in Sweden for tomorrow's game,9 Aug 2019,118.5K,"6,647","1,464"
73,#NovaFotoDoPerfil,2 Aug 2019,171.8K,"8,603","2,021"
74,Muito feliz por ajudar Portugal a chegar à final da Liga das Nações! Parabéns malta! Obrigado ao público português pelo apoio fantástico. Força @portugal,5 Jun 2019,181.4K,21.9K,"3,168"
75,Parabéns amores do papa! Pena não poder estar aí com vocês neste dia tão especial. Mas a mamã está convosco. Sejam sempre muito felizes. Amo-vos muito!!,5 Jun 2019,108.8K,"6,769","1,049"
76,Espírito de equipa! #tudoporportugal,3 Jun 2019,114.2K,"8,102","1,066"
77,Aiming for success. #traditionalaccessories #belt #cr7footwear,1 Jun 2019,94.8K,"5,530","1,184"
78,"A great adventure with a lot of friends 
 @neymarjr you dance, amigo! 
 @SebastienLoeb the rally maestro!
 And...a panda! 
Enjoy @SFR fiber!",1 Jun 2019,55.7K,"7,111",773
79,I made a new friend while shooting the new @SFR TV commercial,30 May 2019,155.6K,24.7K,"2,266"
80,É sempre um prazer estar de volta ao meu país. Força Portugal,30 May 2019,134.8K,10K,"1,233"
81,"Amazing residential destination in Dubai, bringing together traditional design with a modern twist @DubaiHolding #MJLiving",28 May 2019,43.2K,"3,058",639
82,Good morning,20 Mar 2019,211.8K,12.4K,"4,615"
83,Não podia estar mais feliz pela inauguração da minha clínica @insparya_es,19 Mar 2019,71.6K,"3,886","1,176"
84,"¡Es oficialmente el inicio de un nuevo proyecto, @insparya_es un proyecto único y que confiamos que va a tener mucho éxito!",18 Mar 2019,48.9K,"2,838",901
85,"I always have so much fun developing and selecting the best styles for @CR7underwear !!
SS19 collection coming soon!",15 Mar 2019,57.4K,"4,066","1,970"
86,,11 Mar 2019,258.9K,21.2K,"7,753"
87,"El próximo lunes 18 inauguro @insparya_es en Madrid, mi nuevo proyecto sobre salud capilar. Y, si quieres conocerme, solo tienes que entrar en https://insparyabycr7.com y apuntarte. Puedes ser uno de los 5 ganadores. ¡Suerte!",10 Mar 2019,39.5K,"2,527","1,024"
88,Feliz dia internacional da mulher a todas as mulheres e um beijinho especial às mulheres da minha vida!,8 Mar 2019,149.3K,11.3K,"2,168"
89,Spending a great time at this amazing place  @dubaiholding #MJLiving,4 Jan 2019,96.1K,"5,712","1,638"
90,2 animals,4 Jan 2019,267.8K,25.3K,"3,174"
91,What better way to start the new year. Thanks for the appreciation and the care that I have received today.,3 Jan 2019,125.1K,10.8K,"2,004"
92,About last night!,1 Jan 2019,158.3K,"9,429","1,624"
93,Happy New Year!,31 Dec 2018,276.4K,21.3K,"3,816"
94,Amore mio!,31 Dec 2018,242.1K,16.7K,"3,081"
95,New Year’s Eve at @PestanaCR7 Funchal!,30 Dec 2018,86.3K,"5,507",999
96,Participe com um donativo no Peditório a favor da Liga Portuguesa Contra o Cancro. O Peditório Nacional decorre até 4 de novembro através da colaboração de milhares de voluntários que sairão à rua em todas as regiões de Portugal.,2 Nov 2018,47.7K,"3,574",834
97,,1 Nov 2018,210K,16.4K,"2,245"
98,"Having fun on set! Check out the classic styles
on http://CR7Underwear.com",31 Oct 2018,58.4K,"3,673",944
99,Happy Halloween to everyone!!,31 Oct 2018,192.6K,20.4K,"2,206"
100,Can you guess where am I?#pestanacr7 #cr7 @PestanaCR7,29 Oct 2018,84.2K,"5,695","1,741"
101,,29 Oct 2018,203.6K,13.5K,"3,214"
102,"Uno per tutti, tutti per uno! #finoallafine",27 Oct 2018,186.4K,22.9K,"3,101"
